#{"t_start": 1607582400.6565716, "env_id": "Block-v1"}
r,l,t
-1283.884699,272,2.323676
-249.053279,728,4.391762
-1539.927927,365,5.489671
-290.278073,636,7.402937
-1895.345155,809,9.990123
-110.389963,192,10.615029
-95.251121,9,10.648254
-551.632643,992,13.76119
-1339.102336,301,14.721449
-583.449265,700,16.944284
-653.920063,1001,20.116271
-686.128527,1001,23.294835
-1576.130751,585,25.161534
-365.963365,416,26.469655
-783.635501,1001,29.960499
-720.162219,1001,33.229787
-623.828807,1001,36.421035
-364.379372,1001,39.782443
