#{"t_start": 1607624430.4891129, "env_id": "Block-v1"}
r,l,t
-689.323132,1000,1.746905
-1185.250555,117,1.961446
-1257.467316,246,2.38518
-1517.930607,573,3.397329
-2.901797,65,3.527444
-1669.531346,812,4.991776
-116.749743,189,5.342133
-697.870876,1001,7.254692
-778.521698,1001,9.379376
-97.38971,10,9.39912
-623.93822,991,11.27039
-767.5421,1001,13.159121
-1208.195291,171,13.500758
-301.441221,830,15.04618
-641.264104,1001,17.034549
-1214.658245,13,17.070257
-1295.614583,284,17.66196
-1367.377193,345,18.365971
-82.122642,12,18.396298
-321.087162,347,19.079171
-590.687349,1001,20.969656
-1353.009461,400,21.663704
-327.986906,601,22.772591
-1233.439867,31,22.835171
-354.539088,970,24.592066
-673.998496,1001,26.353455
-81.244126,17,26.386446
-592.532944,984,28.195237
-644.322876,1001,29.970676
-1564.825734,558,30.980374
-1168.439365,57,31.080958
-122.440933,386,31.786201
-1884.457722,882,33.53613
-46.241065,119,33.771102
-1604.704884,702,35.117296
-1242.936073,48,35.204171
-114.17688,11,35.221793
-144.72055,240,35.659566
-64.470364,5,35.671909
-538.551931,996,37.6448
-695.237297,1001,39.69964
-1365.561738,335,40.307142
-184.085674,666,41.5834
-1204.806524,154,41.869538
-401.134225,847,43.393174
-340.00832,1001,45.275215
-620.965468,1001,47.059834
-778.608163,1001,48.887619
-1364.902793,313,49.431129
-564.408255,688,50.717441
1923.823632,673,51.923964
-233.290434,328,52.48591
-1214.458667,19,52.524361
-528.119269,982,54.310627
1667.697451,992,56.053095
-8.60953,9,56.0678
-1166.222833,89,56.221748
-584.542766,912,57.853531
-696.725377,1001,59.613002
1820.697778,762,60.936544
-164.620001,239,61.425912
-1225.364801,145,61.668254
2033.023234,442,62.438614
-136.231088,414,63.153696
-1011.423385,1001,64.90775
1762.331725,874,66.409742
-207.685838,127,66.653407
-570.60541,1001,68.414662
-1987.577677,998,70.158628
-1.421685,3,70.163634
-587.809887,1001,71.891679
-568.173945,1001,73.626088
2060.702687,442,74.400707
-402.164991,559,75.394053
-1241.672068,29,75.444361
-601.468207,972,77.131785
1936.917846,546,78.083343
2085.221212,393,78.775437
-147.583107,10,78.791353
-61.034954,52,78.903355
-1722.854138,855,80.387241
-271.459283,146,80.663095
1662.286518,980,82.357804
-233.773283,21,82.396019
-1781.675857,629,83.516796
-1264.531822,30,83.57232
-126.854769,342,84.194485
-1295.244193,47,84.282337
-724.92407,954,86.184705
-673.403572,1001,88.237593
1712.206755,810,89.849357
-11.693217,191,90.272987
-1044.090631,1001,92.323425
1856.026473,706,93.699739
-223.347922,295,94.339394
1784.926569,804,95.865093
-92.867819,197,96.256747
1950.673508,557,97.278629
-404.513587,444,98.124281
-889.465702,1001,100.12347
-1258.668867,41,100.20243
-817.780388,960,102.140085
-556.617111,1001,103.98262
-570.784913,1001,105.862225
2034.369468,452,106.696638
1991.431812,473,107.581028
-44.384695,76,107.736548
1811.340519,706,108.974565
-70.797056,295,109.501428
1783.369325,790,110.956585
-133.38472,211,111.349401
-135.721044,10,111.379177
-411.4056,991,113.169905
2168.034789,287,113.709034
-1822.744539,684,114.992157
-23.518548,30,115.051146
1847.366919,699,116.362779
83.363892,302,116.942422
2013.989872,469,117.833701
2119.199225,353,118.442444
-1262.404585,20,118.472782
57.255406,159,118.763067
1675.421146,898,120.340196
11.445435,103,120.540969
1778.370721,809,121.949388
-187.727832,192,122.313798
-1731.644778,594,123.361428
-56.077172,407,124.074378
2049.450497,464,124.896297
-200.108591,537,125.849473
2074.101756,399,126.549942
1983.165435,529,127.501089
-8.002665,73,127.642043
-512.031807,1001,129.394669
1869.620181,603,130.489005
2181.474963,248,130.956275
-35.475661,150,131.240808
2041.32812,414,132.036655
-228.748818,587,133.129625
-1794.726272,690,134.39575
-30.731121,311,134.952738
-573.455636,1001,136.732912
-97.244893,7,136.744146
-1231.796656,21,136.783143
1900.689324,595,137.844035
-79.544331,378,138.531692
1639.451293,904,140.18374
17.158895,97,140.384318
-11.138629,6,140.394699
2177.752288,260,140.880005
1959.994461,476,141.762107
-35.365384,259,142.270419
-163.074351,33,142.332187
-939.832813,968,144.135208
2189.644708,247,144.573822
1987.44396,533,145.527272
-55.09293,221,145.940351
-841.335389,1001,147.717992
2144.151379,314,148.267195
2121.152325,306,148.786597
-307.242216,381,149.482287
2172.149093,279,149.979653
2214.36364,176,150.293624
2244.437589,193,150.646068
83.255918,353,151.294128
-1693.227127,387,151.982399
1894.138592,550,152.956491
-35.164294,64,153.069499
2146.79875,264,153.529869
2209.527567,218,153.906304
1978.409287,478,154.741018
11.367873,41,154.808705
2177.197487,222,155.18818
2158.429497,241,155.595371
2206.719823,229,155.993265
2186.878657,245,156.417314
-19.212403,64,156.526964
2154.08524,272,157.017616
2210.889917,204,157.362375
2187.715299,254,157.795612
96.998841,271,158.28935
-63.927814,31,158.343004
2129.809889,312,158.866698
-87.501907,10,158.894436
2202.263606,191,159.225287
2229.129262,192,159.543637
-40.426368,265,160.024119
-2063.660357,901,161.579861
56.420016,100,161.755094
-1584.655546,327,162.32379
2245.894169,149,162.578351
-98.045826,8,162.590755
2096.345915,348,163.201688
83.089868,169,163.509599
1876.951026,561,164.516899
2150.564808,262,164.968796
-48.311051,178,165.30728
2208.911429,202,165.657635
-495.384352,799,167.087987
-1707.043761,415,167.81851
2147.673486,278,168.298699
-371.291007,308,168.872902
2116.603305,278,169.352844
2243.641903,161,169.638625
-555.105732,562,170.624436
2089.973709,342,171.222684
2160.17603,240,171.64634
-1679.497366,384,172.324592
53.885677,35,172.384479
2228.123261,172,172.679971
-1274.773197,41,172.757692
2251.462702,161,173.047025
2227.955393,150,173.299746
2247.075788,158,173.572612
2125.678751,257,174.048048
-11.887043,62,174.156007
-0.919965,38,174.22065
