#{"t_start": 1607929004.868923, "env_id": "Block-v2"}
r,l,t
-20.806488,1000,4.529498
46.766198,1001,7.9582
8.515046,1001,11.337817
-69.173722,1001,14.719246
9.59964,1001,18.095698
-157.125894,1001,21.479874
-58.095941,1001,24.855109
30.837632,1001,28.230957
-54.683342,1001,31.581799
-9.670669,1001,34.932405
-73.432862,1001,38.21147
28.313526,1001,41.484727
-162.547655,1001,44.756955
2.258015,1001,48.029959
52.627549,1001,51.299476
29.127163,1001,54.571684
80.555518,1001,57.840696
67.538209,1001,61.114396
52.596695,1001,64.386511
65.381172,1001,67.664539
-8.440963,9,67.692526
106.926536,992,70.938155
-63.224131,1001,74.215606
-27.990631,7,74.236382
39.310002,994,77.494348
112.62291,1001,80.773315
112.188933,1001,84.043553
50.764112,1001,87.320941
-44.096339,12,87.360294
-48.377446,989,90.594119
124.722196,1001,93.867764
84.029507,1001,97.142902
125.391801,1001,100.421186
145.288656,1001,103.695183
124.148829,1001,106.978654
147.760798,1001,110.2561
-21.324773,1001,113.541276
159.77674,1001,116.821208
128.343915,1001,120.106007
172.147733,1001,123.381513
230.514567,1001,126.665887
194.320428,1001,129.944321
175.391605,1001,133.229419
188.851066,1001,136.508466
158.134494,1001,139.793952
175.790581,1001,143.071674
197.749364,1001,146.35273
196.832392,1001,149.629366
230.964631,1001,152.908733
263.657453,1001,156.18493
263.441286,1001,159.467883
233.777391,1001,162.808458
208.713848,1001,166.100338
206.75592,1001,169.451986
199.007376,1001,172.74834
251.327,1001,176.044697
299.441667,1001,179.343641
303.667207,1001,182.639633
238.758566,1001,185.943077
241.195902,1001,189.243083
286.495234,1001,192.543015
242.622119,1001,195.833826
278.779447,1001,199.131208
211.853715,1001,202.42529
305.921209,1001,205.725316
297.473803,1001,209.011996
271.409427,1001,212.308885
317.033986,1001,215.598507
252.19743,1001,218.897703
255.184907,1001,222.198034
418.682704,1001,225.493337
250.314227,1001,228.794967
419.135795,1001,232.099576
361.15149,1001,235.428967
372.575547,1001,238.768193
437.588608,1001,242.095986
386.765607,1001,245.43119
354.105699,1001,248.765728
382.645093,1001,252.099021
355.734054,1001,255.429459
359.034517,1001,258.768031
463.349533,1001,262.096858
423.142669,1001,265.435243
-21.522752,7,265.456463
313.962046,994,268.76787
405.265407,1001,272.106221
384.349748,1001,275.440062
441.467771,1001,278.779018
343.107312,1001,282.113333
458.966639,1001,285.450155
470.235945,1001,288.783003
480.578191,1001,292.190271
455.429284,1001,295.526294
482.77066,1001,298.871489
475.75803,1001,302.235966
390.604832,1001,305.572324
415.422148,1001,308.910174
510.117128,1001,312.247156
458.044552,1001,315.577347
530.421334,1001,318.911216
580.760527,1001,322.235921
555.122755,1001,325.568714
565.095856,1001,328.898779
517.142156,1001,332.235922
507.135504,1001,335.5666
537.373271,1001,338.899071
559.667937,1001,342.227783
-18.475309,10,342.261125
556.85087,991,345.559967
588.817341,1001,348.889625
617.128907,1001,352.222706
560.086031,1001,355.552628
606.814792,1001,358.885308
580.122507,1001,362.211901
612.897548,1001,365.542637
643.859716,1001,368.960458
537.210524,1001,372.391329
492.479614,1001,375.777829
625.233541,1001,379.112796
600.847524,1001,382.439424
603.602136,1001,385.769479
649.875084,1001,389.096828
645.891028,1001,392.431798
627.879173,1001,395.763226
620.633871,1001,399.109236
621.158424,1001,402.448083
659.727809,1001,405.790741
627.68784,1001,409.132851
587.301074,1001,412.515525
673.492282,1001,415.87425
684.57519,1001,419.245296
696.974145,1001,422.58756
699.934432,1001,425.929829
669.7384,1001,429.269131
711.347783,1001,432.600172
705.137923,1001,435.933255
708.638903,1001,439.266789
609.440018,1001,442.650595
712.515564,1001,446.007572
728.831401,1001,449.369087
716.062335,1001,452.713054
716.924703,1001,456.068794
700.367572,1001,459.419692
734.010873,1001,462.775589
706.807751,1001,466.141522
727.027836,1001,469.481026
721.215656,1001,472.820307
674.719479,1001,476.158642
767.812355,1001,479.503552
726.401864,1001,482.839486
667.492372,1001,486.235759
758.142541,1001,489.628644
769.685241,1001,493.031542
-12.114783,14,493.078946
740.445954,987,496.424973
773.382263,1001,499.82962
759.721371,1001,503.223612
743.891516,1001,506.627216
773.903063,1001,510.025421
793.344962,1001,513.426134
761.421504,1001,516.82234
659.974416,1001,520.231113
715.15507,1001,523.631432
820.467144,1001,527.026947
794.569394,1001,530.418448
731.896948,1001,533.822306
809.882756,1001,537.192093
797.497119,1001,540.497348
-18.803551,8,540.523763
794.092384,993,543.797326
789.396999,1001,547.104051
808.593911,1001,550.402224
811.424046,1001,553.705172
831.470503,1001,557.003803
801.699512,1001,560.309496
821.101471,1001,563.646858
818.84226,1001,566.953048
