#{"t_start": 1608009032.0311728, "env_id": "Block-v2"}
r,l,t
-18.580266,1000,2.352854
-73.894669,1001,3.563007
-65.453111,1001,4.755662
-15.445816,1001,5.952239
21.915084,1001,7.150892
-52.312002,1001,8.342319
-119.101855,1001,9.545951
-13.009657,8,9.554973
-53.99447,993,10.748942
-18.274411,1001,11.941731
4.74636,1001,13.140521
-70.096148,28,13.172541
-83.120144,973,14.33904
-67.073555,1001,15.53161
27.480698,1001,16.730376
-98.99345,34,16.769002
-8.118447,967,17.92298
-54.050855,1001,19.122482
25.730409,1001,20.31898
40.284148,1001,21.515069
3.580875,1001,22.714929
-179.437618,1001,23.918194
2.393151,1001,25.111534
141.154257,1001,26.307854
90.003058,1001,27.506884
107.482835,1001,28.701368
88.293267,1001,29.900129
141.134446,1001,31.098092
61.207472,1001,32.300671
-72.495409,1001,33.510135
-10.486788,1001,34.70072
93.561195,1001,35.897715
100.936931,1001,37.100739
14.015945,1001,38.299867
-72.651706,1001,39.506851
102.443963,1001,40.702965
-31.161676,1001,41.900986
139.37242,1001,43.098094
100.84144,1001,44.300873
82.397197,1001,45.500504
-61.833637,1001,46.707317
143.802168,1001,47.902326
69.465217,1001,49.108537
78.161529,1001,50.310338
48.275029,1001,51.509842
19.378641,1001,52.715808
62.020436,1001,53.927068
34.529242,1001,55.125548
-29.856113,1001,56.336424
157.775299,1001,57.537139
-23.674646,8,57.546204
-60.770134,993,58.742224
103.365792,1001,59.938094
21.810305,1001,61.141976
179.035959,1001,62.339643
110.76825,1001,63.545259
144.587293,1001,64.743712
151.029931,1001,65.948265
90.916928,1001,67.152092
176.497035,1001,68.351628
162.150554,1001,69.554002
133.131849,1001,70.750837
18.185735,1001,71.942511
72.746775,1001,73.129992
115.06498,1001,74.330767
125.488402,1001,75.521878
9.510132,1001,76.720114
140.32965,1001,77.904275
154.471493,1001,79.104998
215.898206,1001,80.301228
119.979539,1001,81.489756
158.834582,1001,82.685181
182.218703,1001,83.880877
197.919068,1001,85.070877
92.320219,1001,86.26684
125.016094,1001,87.462557
179.005024,1001,88.654649
143.33793,1001,89.848861
211.864536,1001,91.04512
221.018807,1001,92.233561
214.694836,1001,93.429924
225.230563,1001,94.621823
269.959654,1001,95.816432
34.41763,1001,97.012962
173.963778,1001,98.19904
285.106282,1001,99.395522
254.108578,1001,100.589097
247.595329,1001,101.780255
-25.261844,9,101.790422
-4.069762,992,102.978271
207.664478,1001,104.166425
295.097428,1001,105.354619
187.607244,1001,106.551398
254.650897,1001,107.741757
223.261754,1001,108.940954
203.27023,1001,110.138405
214.81479,1001,111.332131
-7.120444,1001,112.535437
163.209818,1001,113.726137
223.861539,1001,114.91146
254.42563,1001,116.109405
184.678504,1001,117.304135
231.002838,1001,118.495317
186.890544,1001,119.689348
215.072321,1001,120.885256
303.29925,1001,122.078775
331.846253,1001,123.275429
13.720373,1001,124.47391
234.66903,1001,125.667869
235.476297,1001,126.862142
89.1034,1001,128.065503
137.920307,1001,129.267117
330.897501,1001,130.459941
-86.234213,63,130.534381
192.063087,938,131.6502
110.92757,1001,132.848816
203.612914,1001,134.045884
161.945383,1001,135.235273
322.407606,1001,136.430024
31.570702,1001,137.622518
78.554931,1001,138.814316
88.014067,1001,140.013445
367.296091,1001,141.202821
109.339956,1001,142.397632
313.184522,1001,143.584838
336.338041,1001,144.77311
255.700397,1001,145.967744
397.359183,812,146.929413
80.870288,189,147.164509
-21.8855,7,147.172448
-77.736298,31,147.206509
213.215975,963,148.357442
170.985675,1001,149.553582
142.828095,1001,150.753221
396.978266,972,151.91313
4.049353,29,151.94575
299.847625,1001,153.140187
399.778142,1001,154.331698
181.994625,1001,155.533225
262.856743,1001,156.730472
376.144624,1001,157.924122
108.911958,1001,159.12893
253.013103,1001,160.32283
109.881071,1001,161.504725
356.687028,1001,162.696066
107.792626,1001,163.876814
318.306776,1001,165.059265
142.747636,1001,166.255432
-73.52428,36,166.294357
262.103207,965,167.422861
309.418576,1001,168.587555
350.899857,1001,169.757556
317.937747,1001,170.921094
352.770021,1001,172.088335
343.507534,1001,173.257513
363.558093,1001,174.420494
480.402265,964,175.54193
26.206307,37,175.588317
346.797475,1001,176.762226
343.10607,1001,177.930227
329.538701,1001,179.101493
375.317111,1001,180.267243
381.387441,1001,181.427272
326.255033,1001,182.59407
99.663735,1001,183.763187
119.525895,1001,184.932728
372.104386,1001,186.095092
402.0235,1001,187.263927
393.568718,1001,188.431876
81.119895,1001,189.606779
245.559508,1001,190.763236
401.995456,1001,191.923037
399.211314,1001,193.088046
412.483381,1001,194.249421
439.073821,1001,195.415754
411.993901,1001,196.58226
454.659436,1001,197.744554
488.138485,953,198.860874
35.019319,48,198.919203
319.168458,1001,200.08034
404.200858,1001,201.244976
400.080582,633,201.974931
67.394081,368,202.411315
-78.654424,22,202.435002
424.442682,666,203.201272
-21.907593,313,203.569698
409.178824,1001,204.729989
460.910449,1001,205.890088
-0.123025,1,205.891428
413.257925,1001,207.05719
385.290348,1001,208.224952
411.000332,1001,209.391605
436.843425,1001,210.553878
438.976021,842,211.533308
90.086631,159,211.72053
405.385827,792,212.633054
104.333009,209,212.888145
396.016621,636,213.615739
-1.888582,365,214.054134
272.996274,1001,215.213992
187.090328,1001,216.377363
233.03068,1001,217.538109
242.112019,1001,218.699235
247.964133,1001,219.854316
256.521626,1001,221.014703
271.088029,1001,222.177596
327.771482,1001,223.342429
226.471638,1001,224.507872
312.737092,1001,225.677247
253.333007,1001,226.842999
343.19855,1001,228.01087
356.88165,453,228.533526
217.47345,548,229.175056
213.613636,1001,230.344555
121.106692,1001,231.517418
350.868167,1001,232.675376
219.762885,1001,233.843823
142.99279,1001,235.015834
364.46605,1001,236.171125
407.464131,1001,237.341867
304.717379,1001,238.510751
235.624981,1001,239.678856
465.840785,1001,240.847179
446.259813,1001,242.010089
474.2603,1001,243.170368
513.69307,1001,244.337273
382.487725,1001,245.497558
267.425825,1001,246.66835
448.774961,1001,247.82931
261.258013,1001,248.998345
531.922687,894,250.041449
