#{"t_start": 1607901232.335936, "env_id": "Block-v4"}
r,l,t
8295.469745,732,3.267836
2399.904291,268,3.912129
8208.052433,1001,6.414589
8275.618778,1001,8.866821
534.714916,104,9.126372
7510.564999,897,11.345582
-289.770816,133,11.675294
7206.869997,868,13.871407
-607.974388,83,14.180546
2743.041261,467,15.602489
3672.122937,451,17.074529
-637.378344,77,17.310261
-238.325555,118,17.623977
-411.692057,98,17.923495
5797.168649,708,19.871831
-388.782993,92,20.180611
7518.957266,909,22.903114
8300.625929,1001,25.474516
8495.785375,1001,28.001904
-556.593595,120,28.318297
-145.563671,145,28.69512
3363.171498,566,30.251156
1387.680273,170,30.739015
8529.382654,1001,33.36154
5280.538189,783,35.669112
-1083.111651,20,35.718018
-841.085859,49,35.847886
662.810298,149,36.21998
7849.231075,1001,38.794718
8165.226573,1001,41.340625
8331.74987,1001,43.792217
2454.485273,452,44.895438
454.017723,237,45.479264
2422.756663,312,46.265506
-610.14141,83,46.466643
7713.395092,918,48.731892
8497.241328,1001,51.236797
8667.715205,1001,53.707933
-382.886399,104,53.964784
7514.301497,897,56.194148
3287.800312,525,57.468159
121.039598,152,57.841546
-227.220117,159,58.225775
1301.177122,165,58.638132
159.355205,162,59.030253
-537.616302,103,59.296394
2183.808715,387,60.239762
2864.753704,349,61.11842
-633.729721,64,61.282592
1351.187306,297,62.001104
2177.627107,444,63.072884
1659.398909,196,63.557683
709.370499,227,64.125186
5936.644255,774,66.037026
7437.980338,611,67.604281
3062.972615,390,68.686139
201.605006,175,69.162357
-126.927278,119,69.484638
-717.485056,51,69.620521
803.095099,235,70.268875
1063.330934,290,71.094732
739.251426,131,71.486819
-549.998793,67,71.664556
520.066931,194,72.205955
6567.372024,740,74.879488
5404.881809,348,76.096571
2080.702398,374,77.450331
2292.725313,279,78.458224
2101.429609,444,80.042297
4679.885827,557,82.012001
8531.895049,1001,85.534391
-661.104557,126,85.974786
970.897788,257,86.781598
-586.225906,66,86.992121
1081.447265,323,87.884373
-621.787513,62,88.071657
1335.600254,167,88.536215
795.601762,290,89.48242
3361.119432,566,91.253631
1259.394256,145,91.629975
8205.744467,1001,94.258425
2342.137169,459,95.676708
2131.395905,413,96.770063
1049.898198,129,97.127911
3560.819732,550,98.603529
521.188613,209,99.165052
46.867855,139,99.551816
811.700005,103,99.843745
269.502398,166,100.304646
6785.55463,835,102.881269
8415.727094,1001,106.662987
8551.928363,1001,110.170629
537.826148,219,110.944551
3.234797,135,111.421293
1634.916304,326,112.561142
2588.405726,321,113.676638
4619.298566,703,116.045555
2410.327764,298,116.900166
7172.743347,982,119.43457
101.98953,19,119.487164
3672.407728,568,121.2911
3559.728781,433,122.506757
-194.624312,124,122.840102
4005.007418,610,124.601934
2207.706705,267,125.751307
8228.572971,1001,129.391957
595.347482,233,130.285334
5974.37448,768,133.008031
7980.221381,1001,136.500138
8488.611987,1001,139.549545
7687.77865,867,141.653255
1066.213187,134,141.990744
6566.180401,645,143.569828
2794.456941,356,144.478593
4387.308295,951,146.825012
542.777601,50,146.958379
7505.957813,1001,150.066742
-24.771373,301,150.866938
2218.965714,395,151.865956
2618.664844,305,152.99986
6910.512282,1001,155.733353
662.999329,218,156.327136
5911.323553,783,158.483717
-431.326758,117,158.818093
2276.86918,429,160.496283
273.783923,211,161.285643
1443.935386,244,162.166661
7554.723311,1001,165.813627
631.111024,344,167.085331
4659.357396,657,169.461501
8298.191482,1001,172.931226
7024.281803,1001,175.837729
7983.344947,1001,178.759687
7893.887716,1001,181.391852
8084.352508,1001,183.996051
1486.340144,421,185.217822
4069.090442,580,186.89325
7894.3801,1001,189.619893
8431.931033,1001,192.404517
4598.615405,680,195.023652
2789.133178,321,196.157593
5479.979745,785,198.922513
1835.306141,216,199.70194
5673.073744,868,202.754221
1105.200847,133,203.231282
1321.921973,393,204.630821
5076.792759,608,206.6655
8549.456948,1001,209.867906
7959.59335,1001,212.505308
7845.314499,1001,215.358998
8222.344523,1001,218.09988
-833.204297,43,218.216445
8039.537194,958,220.864741
8325.846832,1001,224.546189
6085.231458,860,227.55232
1114.961741,141,228.062802
2450.174129,422,229.53711
4693.232555,579,231.570085
6457.100061,925,234.773417
557.323206,76,234.992552
8534.617291,1001,237.883906
1009.560068,253,238.511
6095.73738,748,240.441691
8032.263704,1001,243.594831
2402.830596,415,244.696424
5008.365513,586,246.406462
2045.4437,376,247.478288
5239.136281,625,249.209104
8412.417454,1001,251.98632
745.405362,270,252.713505
961.199728,263,253.717612
2876.231697,468,255.440481
6214.89693,1001,259.049692
985.692816,614,261.245795
1674.119129,365,262.574163
215.147861,22,262.658533
1972.949204,355,263.97279
838.648769,286,264.994542
2613.808816,360,266.303668
875.639831,256,267.115389
6292.190394,745,269.272787
2143.128876,372,270.390009
5405.630469,629,272.081548
8059.051358,1001,275.049821
7555.421993,1001,277.795407
8195.677852,1001,280.546315
8559.150197,1001,284.44875
7722.367974,1001,288.187584
8524.61469,1001,291.779845
9091.263272,1001,295.12895
8958.203984,1001,297.625815
9042.123435,1001,300.164921
8890.348479,1001,303.120819
8962.886064,1001,306.038817
8994.655547,1001,308.796189
8677.047041,1001,311.982611
7782.018913,594,314.112713
3893.432945,407,315.58385
8662.063994,1001,319.16078
8986.687842,1001,322.742158
9853.618532,925,325.728728
718.479888,76,325.913458
10762.541398,917,328.171013
842.575976,84,328.376498
9571.67193,1001,330.857355
8930.853349,1001,333.378284
9270.629338,1001,335.904331
8379.344745,1001,338.371324
8627.65034,1001,340.895495
-392.944556,93,341.126914
8032.668901,908,343.3737
8643.734206,1001,346.312555
9597.466239,1001,349.073333
8509.86972,1001,351.668715
8026.262202,1001,354.114383
7905.4975,1001,356.558947
9104.547526,1001,359.004786
8715.94455,1001,361.467918
9689.179688,1001,363.928263
9388.362433,1001,366.378119
9037.417514,1001,368.842177
7389.102655,1001,371.309555
8485.679626,1001,373.769323
9729.488562,1001,376.224306
8885.05355,1001,378.673497
8844.446531,1001,381.119187
9083.696272,1001,383.567395
9528.517043,1001,386.012583
9061.447671,1001,388.46814
9739.567927,1001,390.918631
9537.594201,1001,393.364791
9316.826771,1001,395.808537
9256.916408,1001,398.249121
9806.795923,1001,400.698643
8907.072193,1001,403.162543
9881.164346,1001,405.635014
10194.257411,1001,408.127281
10022.895246,1001,410.610413
9763.279606,1001,413.080165
10003.882298,1001,415.53598
