#{"t_start": 1607896967.4581313, "env_id": "Block-v4"}
r,l,t
-270.006703,132,2.013958
7076.817101,868,4.578446
253.094158,186,5.177046
6758.947447,815,7.518965
8118.238781,1001,10.504833
8490.072047,1001,13.414653
8402.009475,1001,16.34043
8404.884427,1001,19.246814
8370.958624,1001,22.184
8333.259906,1001,25.111123
226.13952,198,25.700595
6544.657562,803,28.054888
8218.029379,1001,30.94721
8248.529354,1001,33.839048
-247.454864,122,34.178659
-835.528413,34,34.272469
-347.992191,111,34.574258
-220.589174,119,34.8985
778.333293,242,35.563472
164.226921,172,36.028386
510.405561,201,36.582494
7.990547,1,36.58471
1221.653471,287,37.359942
1349.189032,301,38.17662
-240.626214,114,38.491349
2014.397036,299,39.314354
8342.133607,1001,42.118376
-777.821678,118,42.454813
-18.472525,150,42.86735
6280.533416,733,44.902164
1361.220726,299,45.743429
1380.552617,303,46.631952
358.310982,177,47.194729
1753.799785,222,47.845622
1361.413036,293,48.676803
828.773637,236,49.346025
319.466354,175,49.844679
2400.292622,297,50.700888
957.83544,281,51.501483
29.302647,164,51.970631
182.324585,159,52.424286
1013.321885,260,53.163569
625.832208,137,53.562997
-243.008033,138,53.965288
553.080163,217,54.587028
-516.624672,76,54.805291
1356.053462,297,55.663918
-54.034152,129,56.067366
1075.990741,144,56.495356
3391.320745,547,58.096414
176.894371,157,58.555348
2375.521491,297,59.423138
10159.078614,913,62.062504
-702.0619,54,62.220448
236.818389,34,62.329772
-457.424713,84,62.566555
-434.448634,88,62.841227
7044.11837,829,65.25152
-105.903359,125,65.613412
1866.020384,360,66.655249
1089.035382,267,67.422938
2135.077484,249,68.162096
11.418256,140,68.577522
7105.145539,861,71.080448
1827.067639,358,72.167736
-567.756659,77,72.400506
4025.001542,566,74.13717
7500.974237,1001,77.133478
-119.774768,128,77.500743
6868.7377,873,80.054518
7901.841638,1001,82.954801
2170.082439,405,84.155544
4963.518714,596,85.875873
8329.92549,1001,88.789658
8434.79305,1001,91.682341
1508.341469,315,92.623531
2005.669607,416,93.922105
141.685183,155,94.408408
-529.481881,70,94.628315
334.657823,45,94.772513
3669.100751,583,96.366481
1095.821674,279,97.129459
1143.149922,139,97.515976
1394.650257,311,98.374232
775.398154,231,99.014565
1188.527539,273,99.76901
1058.480949,186,100.285497
1986.970267,433,101.482343
4493.762698,568,103.054343
2535.051454,445,104.304876
2960.220764,487,105.651616
569.862633,69,105.852577
8503.311104,1001,108.751017
1980.910685,383,109.854371
1594.455884,353,110.871987
-218.816551,119,111.216451
1258.923237,146,111.647034
4553.552278,705,113.754214
783.640603,229,114.466475
494.980736,67,114.677033
8035.11013,1001,117.612956
532.330442,273,118.412854
6161.79233,728,120.53588
4326.586892,686,122.518771
2483.070804,315,123.445202
3360.773273,543,125.030138
3335.823375,458,126.356195
935.468741,251,127.079832
5707.802375,750,129.26246
7203.691801,1001,132.176856
10125.657862,968,135.005756
246.031847,33,135.103375
1150.975687,275,135.900441
3427.796458,543,137.465799
1471.740741,183,138.004502
8380.580791,1001,140.908813
-61.867084,128,141.280443
173.356478,160,141.738934
1595.382768,326,142.669924
2760.705851,387,143.792568
7353.601034,1001,146.72013
-346.248032,107,147.035748
22.399223,142,147.444161
595.606862,248,148.16528
-8.898915,135,148.555745
57.97621,147,148.987715
873.820955,222,149.657893
335.274921,203,150.244425
348.641162,180,150.75867
-34.172824,155,151.197297
377.916583,184,151.720519
1795.131863,279,152.53113
833.811338,304,153.406106
466.946952,239,154.093407
2249.023758,437,155.371943
173.785208,21,155.433157
7815.93522,1001,158.314901
7979.792939,1001,161.235222
506.436624,232,161.912516
6373.680846,769,164.14121
7719.375136,1001,166.938811
-361.402094,95,167.202236
-229.554495,108,167.498598
-308.724861,98,167.771967
667.745771,215,168.370354
3163.274434,485,169.864914
87.52543,207,170.474198
5788.217719,794,172.851423
8107.095478,1001,175.777481
7994.604017,1001,178.730121
7641.268232,1001,181.659324
7428.439553,1001,184.560809
7047.216862,1001,187.492391
4130.801876,697,189.494192
2469.85387,304,190.370956
8163.95836,1001,193.336731
8094.186427,1001,196.277221
8347.616476,1001,199.171608
8125.087145,1001,202.106378
8416.255616,1001,205.018227
8457.267837,1001,208.005307
7400.764981,1001,210.9802
7654.29741,1001,213.906904
8210.75282,1001,216.833737
8019.231497,1001,219.583573
8541.86469,1001,222.372565
7395.908656,1001,225.223795
6717.769761,1001,228.120245
7710.403146,1001,231.050419
2604.039715,460,232.403549
4201.773765,541,233.974612
1711.854357,357,235.002293
5028.407732,644,236.876673
8240.07074,1001,239.729581
8159.781483,1001,242.615957
7761.047229,1001,245.504032
8040.263679,1001,248.396326
4459.738011,768,250.599684
1049.89677,233,251.29481
7461.033669,1001,254.292616
6848.171107,1001,257.225389
7890.18605,1001,260.131634
8455.541891,1001,263.055427
8328.726937,1001,265.961298
7199.710794,1001,268.843005
8128.455155,1001,271.727801
7147.348147,1001,274.635969
8097.350761,1001,277.536045
8543.010718,1001,280.33167
2628.88021,458,281.594344
449.819251,187,282.132261
3006.41885,356,283.133783
1872.399902,357,284.117338
5400.01563,644,285.912088
730.521981,225,286.536407
1806.425337,357,287.545622
2352.266314,419,288.712443
7220.765454,1001,291.575297
8765.279036,1001,294.481536
875.577698,239,295.182273
1587.423017,321,296.236243
3764.116853,441,297.692854
312.37424,380,298.917243
592.428697,270,299.786495
2972.294507,351,300.897835
8878.1851,1001,303.927901
8965.221949,1001,306.882339
10216.007722,906,309.557414
867.189897,95,309.83026
8505.381898,733,311.913953
2572.022233,268,312.725282
8536.925552,1001,315.637094
5915.349561,814,317.978258
1502.007106,187,318.517428
9035.772211,1001,321.38267
884.327684,238,322.064754
6683.350521,763,324.27244
8828.27633,1001,327.177039
3127.977042,540,328.787179
3129.015446,461,330.139797
1624.38804,351,331.140503
-399.519253,199,331.708406
3876.680817,451,333.018192
708.394704,363,334.059532
5909.145861,638,335.889588
234.12478,159,336.347532
373.556364,189,336.891497
5524.188683,653,338.786388
8877.704698,1001,341.531014
8566.798145,1001,344.295243
9131.600804,1001,347.053687
8274.921708,1001,349.823386
8467.70239,1001,352.668485
8145.175581,1001,355.557908
6802.300893,1001,358.468041
6862.251284,1001,361.426147
8357.336069,1001,364.405631
7468.09126,1001,367.371846
7122.825698,1001,370.288858
7421.710411,1001,373.176617
7564.885415,1001,376.091601
2275.389421,452,377.411326
4716.833353,549,379.006023
8851.326164,1001,381.889328
-804.719318,61,382.067419
6167.913904,940,384.790557
8266.250619,1001,387.656623
68.740417,154,388.102457
7376.023485,847,390.564426
7551.831225,589,392.244847
3930.897572,412,393.435972
9062.315985,1001,396.31782
8619.478303,1001,399.227947
5835.681172,1001,401.956054
7757.222277,690,403.844278
2935.927109,311,404.704097
9073.543373,1001,407.468012
6603.047462,1001,410.283312
9170.398652,1001,413.162341
7683.418002,1001,416.116226
4472.637447,997,418.994529
23.35112,4,419.007369
5589.108589,1001,421.887881
4274.423168,647,423.750676
3135.399167,354,424.783903
5099.51219,1001,427.656962
3327.544135,782,429.950063
1060.5754,219,430.583528
6548.711629,1001,433.461331
5539.601969,1001,436.354984
6485.913862,1001,439.226196
650.902373,277,440.019813
4369.125251,724,442.127395
8415.450884,1001,445.128918
7099.644403,1001,448.002061
5372.011057,1001,450.86547
8707.228194,1001,453.688495
6887.585256,1001,456.561068
4509.80845,691,458.528272
2782.050428,310,459.432816
2644.23006,414,460.628349
1648.731692,329,461.563179
1826.635175,258,462.292779
8558.05204,1001,465.170352
4973.036927,1001,468.080672
2879.895761,1001,470.876989
8986.22121,1001,473.769563
8834.727277,1001,476.671477
8609.791834,1001,479.553539
8358.987875,1001,482.44662
8971.801362,1001,485.351657
8320.284412,1001,488.24507
8699.621539,1001,491.154671
3618.355381,571,492.785739
3367.960606,430,494.035988
8413.116077,1001,496.932448
4289.994404,645,498.832465
3221.457875,356,499.895889
-233.367791,107,500.219002
5618.688645,765,502.543375
1031.763134,129,502.933814
8847.559987,1001,505.877087
8640.851618,1001,508.852828
6806.165278,832,511.282327
1411.822891,169,511.794787
8499.703824,1001,514.68277
9156.591014,1001,517.563661
9748.702356,1001,520.528058
8941.768736,1001,523.407299
2846.965728,420,524.621797
4141.790697,581,526.283007
9152.21257,1001,529.02529
8415.618315,1001,531.76035
