#{"t_start": 1607859638.9319758, "env_id": "Block-v4"}
r,l,t
7089.364378,782,3.126034
950.203059,218,3.980558
-720.633097,74,4.287567
1577.228615,309,5.497072
2398.358973,514,7.525277
219.357179,104,7.940634
-929.910876,37,8.08424
6222.035289,964,11.839101
225.800966,200,12.619656
3123.469637,599,14.917188
1099.947083,202,15.693482
3255.203552,459,17.463248
-743.747463,67,17.727645
1818.946903,475,19.549603
3028.42028,466,21.338344
1626.823024,331,22.622116
1382.952066,204,23.407247
1367.176584,260,24.404862
290.665233,63,24.644069
5333.237436,533,26.683327
358.340836,145,27.254722
234.104912,40,27.412342
1557.181621,238,28.324707
214.80425,100,28.707227
-435.109695,107,29.119063
47.397829,18,29.188809
803.536641,123,29.658309
-531.662252,88,30.001111
1334.19923,287,31.111592
99.922206,251,32.071678
3066.524384,613,34.436395
-1034.974016,63,34.673781
63.114001,74,34.967095
-866.525755,25,35.066443
-961.827819,22,35.151875
543.428062,144,35.701941
1029.954889,236,36.611125
890.912685,186,37.34577
2053.517684,388,38.867448
3388.391019,353,40.259702
-636.114974,71,40.542791
223.676553,161,41.173851
124.751946,63,41.424479
1823.62196,302,42.621648
56.984659,51,42.827744
1342.034157,242,43.767296
4954.196219,759,46.731233
3002.887384,649,49.263384
1142.616949,352,50.646833
-290.633695,175,51.333395
-472.050314,247,52.296293
1299.308309,194,53.114671
303.309367,48,53.342174
2296.854942,337,54.677432
483.066904,112,55.123723
5182.049963,703,57.897691
1099.017642,186,58.631853
4565.077222,440,60.358777
1895.915443,335,61.67975
276.924731,114,62.127565
193.107141,112,62.584329
464.964055,231,63.490824
2066.999309,475,65.356626
1887.305927,295,66.515548
102.50809,269,67.587291
2704.128589,732,70.470006
-547.380478,84,70.79851
3497.04515,490,72.715885
873.59453,427,74.386836
137.737531,137,74.924942
98.32442,141,75.46902
-512.892934,68,75.73425
612.910826,328,77.009673
-807.363972,52,77.211254
295.370539,100,77.601766
1067.474672,175,78.308528
1182.670874,238,79.236951
-792.664535,112,79.672337
3311.270263,627,82.108455
66.073182,24,82.210213
-670.151347,77,82.513672
1893.437477,508,84.506132
-550.313348,129,84.999773
64.456142,18,85.070109
1.277748,13,85.123803
-540.168841,108,85.542179
371.488276,148,86.121406
444.492863,262,87.144814
4946.338155,739,90.062595
486.156683,83,90.395644
1179.70375,327,91.676778
812.730987,227,92.5704
-725.71245,66,92.840386
-4.64338,13,92.890047
384.97795,285,94.021392
1364.575226,206,94.832381
-44.666183,23,94.921483
-312.999717,170,95.608104
-735.297843,76,95.905946
-531.570896,114,96.349368
322.481681,241,97.294937
-857.466919,61,97.530277
-12.448554,8,97.562005
-689.297551,74,97.85756
193.539873,28,97.981453
2567.636975,596,100.306255
2491.746903,208,101.112288
316.61965,53,101.322055
65.863953,34,101.454778
-882.45301,29,101.566664
382.845773,81,101.893856
1331.40503,280,102.993479
306.144208,84,103.325328
-812.461982,154,103.929185
97.599529,104,104.332548
-836.393533,51,104.529272
1401.354873,273,105.590293
275.753385,55,105.814101
-706.645475,84,106.141569
-519.192008,110,106.570462
-367.935234,152,107.162748
2072.468075,359,108.590584
-673.952091,72,108.871621
967.889172,224,109.750263
698.507776,110,110.179084
1791.485771,419,111.807532
218.414365,60,112.042191
2856.501188,412,113.684948
3506.828184,439,115.403533
381.657525,105,115.809827
1227.715188,445,117.562454
-7.454215,12,117.609625
3007.090875,651,120.176258
1411.406424,229,121.075407
192.274243,63,121.319151
216.190277,58,121.556096
-423.255993,266,122.593618
840.282443,139,123.143929
118.878815,19,123.222587
1451.579421,378,124.714397
899.501329,199,125.501405
-639.770294,72,125.78305
3216.586843,629,128.244879
277.219633,259,129.269459
-832.206716,31,129.393315
