#{"t_start": 1607876207.5060074, "env_id": "Block-v4"}
r,l,t
426.556453,174,0.703739
1391.234956,277,1.800204
1899.785045,339,3.149385
624.166384,210,3.976717
-584.630613,137,4.540099
884.095108,332,5.839202
54.841988,159,6.46667
962.916159,261,7.511959
319.407611,112,7.955593
3035.39664,577,10.222445
2995.287784,424,11.893385
118.445743,49,12.10054
4543.733708,413,13.719842
427.169918,213,14.555086
-883.695572,62,14.7967
81.246206,107,15.211025
491.967738,157,15.832025
1068.429686,223,16.698179
2222.553917,323,17.983689
1106.987218,362,19.407452
636.843683,93,19.774572
-572.731465,80,20.087997
216.83971,77,20.391253
250.481084,77,20.690814
-634.032385,80,21.004804
376.636439,187,21.744822
-264.11524,129,22.262769
155.107312,64,22.520256
-17.880545,7,22.550947
341.584639,146,23.128282
365.589531,101,23.525289
151.515417,53,23.7442
-799.991158,133,24.265221
516.400176,80,24.578485
11.405257,76,24.875803
3208.085005,482,26.753932
-27.640889,135,27.298005
9.277817,95,27.682054
3664.37191,616,30.087838
2004.707204,385,31.596984
-576.972075,61,31.832607
1333.868073,302,33.028963
3752.340488,638,35.526412
6684.396184,734,38.41257
-770.500345,47,38.601648
-9.56682,30,38.719785
268.256945,57,38.939607
723.611121,133,39.474183
1954.398715,443,41.201655
38.728922,49,41.398135
49.548137,39,41.550164
12.868466,169,42.21102
50.300896,69,42.491701
-829.701355,136,43.03484
-565.370279,94,43.407968
-4.335091,2,43.416514
862.092273,166,44.068801
833.258614,290,45.203231
838.162393,295,46.352171
-44.883019,148,46.928556
-913.927852,63,47.17117
30.004563,39,47.343184
29.665066,159,47.975396
2247.007041,391,49.518283
1430.751068,254,50.506334
447.270149,126,50.997421
418.192377,71,51.28104
-699.390914,49,51.474868
188.314792,222,52.342257
1217.335745,328,53.646326
13.675424,342,54.975356
222.051421,60,55.21894
1104.859321,279,56.308236
-404.745868,109,56.736671
-20.47367,13,56.785376
-517.080918,102,57.182052
2905.186527,498,59.157336
-414.822579,223,60.032528
681.191677,179,60.729424
41.599029,49,60.923411
1634.683752,253,61.905804
-457.471035,202,62.728024
224.528716,95,63.117395
828.506249,117,63.575531
-771.168958,78,63.891444
-887.283918,40,64.052123
5068.508295,766,67.046381
3880.067884,833,70.318455
-10.879951,77,70.616466
573.591325,91,70.982778
2008.40342,336,72.293781
-25.339168,109,72.717305
-983.462105,42,72.900055
-16.179536,6,72.925006
348.586249,151,73.528558
208.951923,49,73.7193
2485.164008,131,74.236347
1097.078954,177,74.937185
304.914195,55,75.158591
296.955759,56,75.381164
-619.956782,135,75.909764
826.650259,152,76.509631
7.588553,20,76.588712
3675.531036,583,78.917703
-309.560003,122,79.402931
10.667347,189,80.144349
127.782113,255,81.133508
1.065274,72,81.415565
62.284448,18,81.48636
373.422238,153,82.076345
729.658035,192,82.838539
-716.289664,109,83.271164
-765.492331,51,83.469814
1902.62815,334,84.793523
809.50609,149,85.389443
-439.40598,78,85.696293
1656.038815,280,86.808393
-181.386765,132,87.328913
-507.64116,150,87.916204
114.873817,35,88.052105
-593.719432,138,88.595934
356.686154,78,88.901796
-742.999663,97,89.28688
64.581944,302,90.492335
235.452763,69,90.766477
-629.011231,152,91.366284
932.748189,313,92.60619
3076.89945,536,94.745707
-321.985436,217,95.60251
646.533351,110,96.034072
535.383845,145,96.603375
513.890984,302,97.78217
-775.266939,55,97.996063
831.928032,172,98.675989
-603.479264,84,99.00276
-847.469129,70,99.284197
-11.38823,11,99.336464
443.827011,73,99.624127
3715.509137,763,102.63445
194.774698,229,103.52843
2346.267896,490,105.4647
966.780724,282,106.573983
1745.407187,438,108.284859
49.418143,51,108.486415
1891.341216,512,110.513975
-460.836351,170,111.18547
-593.116598,145,111.751945
-531.029497,77,112.057614
-767.16995,59,112.289739
1656.420578,260,113.315459
931.002148,290,114.463311
1773.67964,353,115.874238
4143.942691,648,118.430879
4284.219953,697,121.189248
1485.894781,304,122.393013
-15.834165,15,122.455478
207.653837,99,122.84199
5209.209716,887,126.357177
3191.12337,560,128.557771
630.100456,135,129.083984
144.091638,213,129.928587
93.714866,93,130.314939
-752.418343,56,130.539291
1091.077866,361,131.959471
-909.462471,43,132.127094
-495.552315,233,133.036257
91.113632,53,133.240008
-469.776057,84,133.567616
-854.056799,67,133.829489
218.066835,104,134.240419
-599.0989,81,134.553549
82.451919,31,134.677216
921.598135,344,136.038658
488.097576,285,137.160184
921.759924,260,138.192748
533.19324,168,138.852751
0.942791,52,139.058107
348.209883,59,139.293024
-731.706667,52,139.499654
3159.774649,621,141.962777
148.576739,49,142.166823
698.928677,252,143.1591
-28.669105,18,143.234549
1483.034545,228,144.131459
3926.551619,452,145.932363
91.866613,51,146.136568
-159.713091,131,146.661113
-179.21837,191,147.409367
672.126096,307,148.620546
-107.709464,209,149.436373
844.074708,163,150.087712
3861.537949,564,152.325697
123.381586,92,152.685936
-526.640715,121,153.157779
737.044885,224,154.042268
1892.197877,442,155.791601
-226.21228,249,156.776769
1956.455951,310,158.001839
-863.97521,57,158.223752
2493.4918,392,159.7711
-551.056356,102,160.169141
2973.82506,450,161.956624
987.700812,169,162.622591
633.762845,206,163.426514
155.661791,41,163.583809
963.190958,193,164.338445
1475.539574,363,165.771572
183.963028,29,165.889852
-493.680686,77,166.189616
2534.868648,736,169.036406
-1064.088803,97,169.411189
341.316613,91,169.765867
-674.223365,108,170.180849
4638.275295,477,172.029884
1503.35664,416,173.634423
51.09273,30,173.751001
184.141079,112,174.182647
545.473863,131,174.683759
-778.687938,99,175.066304
666.283481,151,175.652857
-402.960581,104,176.059615
1578.274322,262,177.071182
658.276823,112,177.510831
1219.988156,358,178.884905
-640.178106,95,179.251506
2046.576328,497,181.172839
185.089867,51,181.381829
45.514721,44,181.552127
5836.36462,941,185.169103
104.314766,16,185.231197
-626.86896,80,185.538944
4.907551,217,186.410704
3006.712865,244,187.36199
670.591901,122,187.837824
1342.138597,231,188.73906
427.040646,107,189.171072
1103.19368,166,189.822058
-395.003274,105,190.229021
-279.228794,158,190.848463
-988.653243,28,190.959985
-11.370552,8,190.991895
5252.636811,522,193.050236
-26.849707,14,193.106122
-290.975897,121,193.584283
776.831609,166,194.231035
724.189791,353,195.608645
-768.37884,67,195.873576
-699.507861,64,196.123469
928.937303,230,197.02938
4915.325536,705,199.812026
18.671731,254,200.807517
94.981886,42,200.972222
-290.161025,209,201.792002
-640.058107,74,202.080238
584.538449,132,202.611399
-36.450417,56,202.834001
849.053155,314,204.062238
-840.189243,61,204.298486
847.985345,155,204.915353
480.234729,89,205.260039
796.312222,285,206.375694
-729.300247,166,207.021328
-255.177584,121,207.511155
457.480914,141,208.069441
222.383874,65,208.319954
351.641876,88,208.675347
41.656187,46,208.855909
793.532168,165,209.5056
1416.130018,271,210.557733
-35.309812,17,210.627232
984.953504,322,211.882
-31.04985,167,212.543858
191.882191,59,212.789413
5616.371005,729,215.635123
169.564697,141,216.186656
177.483621,131,216.70274
932.068168,269,217.772911
-25.551645,219,218.628888
-588.729341,90,218.984949
66.451938,77,219.290522
-250.059204,204,220.083483
91.347222,43,220.248562
333.844608,99,220.647354
566.130564,180,221.352496
736.913324,122,221.828623
386.893046,270,222.89737
-719.105787,60,223.134309
232.660146,181,223.841601
-865.554927,35,223.982873
965.921236,153,224.588161
5297.493318,583,226.861073
2393.688726,418,228.520469
5328.197721,549,230.675206
2969.462486,452,232.4469
3618.390145,382,233.956287
3727.524155,619,236.382308
388.872215,199,237.155002
86.72426,166,237.816866
1176.228208,170,238.487495
488.680291,180,239.189251
-1072.801054,30,239.308096
1481.205077,256,240.320712
3504.555528,332,241.624099
169.037396,48,241.81184
-827.105027,48,241.999866
3213.777201,449,243.781088
734.819268,124,244.27199
-276.400751,183,244.977956
-879.688707,36,245.11661
157.620075,40,245.27285
63.987886,21,245.35832
50.835051,62,245.598623
-39.800196,34,245.729997
46.679694,9,245.762478
-2.250618,42,245.924298
-450.688946,194,246.667489
2223.556587,380,248.139857
-180.883469,175,248.819289
6173.189602,630,251.245008
1013.061628,196,252.006192
-177.779049,134,252.522462
-179.913337,128,253.015833
337.950771,89,253.368987
-827.111146,41,253.534308
1253.108321,218,254.37559
433.682524,153,254.960787
1574.87833,238,255.892355
3148.95942,692,258.564538
1091.273473,222,259.422942
134.977574,84,259.753211
-4.244891,3,259.767998
637.245283,98,260.145036
-324.624216,180,260.837925
-1003.19871,57,261.054497
228.17991,61,261.294257
61.237004,71,261.564966
1509.977689,469,263.381187
294.21838,65,263.634598
-678.569421,82,263.951235
611.999317,212,264.766295
-677.911875,75,265.057837
-730.003753,98,265.437036
195.947119,71,265.707148
-391.727166,123,266.181748
-590.279738,124,266.657615
650.007049,175,267.332397
158.538055,41,267.493042
2566.087751,393,269.016784
740.379781,265,270.038265
1575.797227,287,271.148391
-23.404051,56,271.364358
-41.195369,80,271.670576
-307.21282,113,272.10635
-470.13486,151,272.682123
552.102947,324,273.938832
2217.338215,333,275.231683
323.852324,81,275.541484
6851.143672,920,279.092516
5223.042913,483,280.96236
-265.251691,150,281.542406
1923.416642,368,282.961565
2517.835317,532,285.11569
2059.326635,345,286.481973
229.599899,63,286.738356
-842.016542,54,286.951098
-18.749422,7,286.976423
215.614406,90,287.329982
-217.926029,124,287.81742
-909.560592,61,288.061166
4613.135133,726,290.924299
-657.839834,193,291.673749
325.172432,70,291.947376
566.589274,130,292.464265
109.390469,28,292.575301
37.34316,195,293.342109
363.352113,204,294.164958
129.513986,51,294.365352
216.838466,74,294.66584
147.006609,56,294.887973
-58.114735,31,295.01234
-981.658477,51,295.211718
-400.545849,84,295.542092
1768.128676,301,296.725445
-187.360627,152,297.318658
419.527754,139,297.858624
-893.680415,20,297.937645
1535.913481,223,298.819681
-11.302018,11,298.860772
-696.282166,101,299.279701
1924.806026,454,301.059494
