#{"t_start": 1607980931.0770926, "env_id": "Block-v5"}
r,l,t
-29.11905,20,0.050605
-11.930369,8,0.069763
21.808146,55,0.1864
21.217258,184,0.58799
1834.265896,252,1.112326
1396.32194,806,2.824451
-1660.575588,484,3.843257
-38.108342,67,3.986
-1337.8193,141,4.286873
-1114.729617,1001,6.48117
-1038.491951,1001,8.606547
-1380.016294,135,8.905678
-1435.270153,193,9.344201
-1188.293396,95,9.550693
1723.395122,564,10.839727
-53.366008,47,10.938623
-1305.099133,139,11.238269
-874.748683,1001,13.550568
-474.230847,721,15.272128
7.688947,65,15.40855
-26.371345,13,15.439425
-45.221806,25,15.499717
-59.315507,30,15.564718
-263.574798,87,15.747615
-69.783912,60,15.87427
-27.039039,49,15.978963
-127.554313,30,16.042133
-298.831408,384,16.860388
-1597.482037,381,17.672731
-1145.817881,50,17.77743
-1311.052703,208,18.223974
160.570648,203,18.69842
-1605.894032,341,19.460149
-338.517202,191,19.87188
-352.641226,618,21.183336
-59.707235,53,21.297282
-1167.045668,51,21.402992
-318.01832,91,21.591338
-1248.050551,69,21.735394
-1162.664557,31,21.801163
-10.085375,20,21.843316
-157.560002,36,21.917432
17.933268,62,22.056
-1493.032474,218,22.516833
-183.607695,115,22.75944
-747.976759,586,24.004165
-437.405102,300,24.687496
-1420.30602,78,24.858971
-119.041526,293,25.485206
-432.951069,597,26.754019
-264.400983,111,26.986463
-1288.862945,146,27.299552
-177.816212,164,27.639377
-1373.264093,348,28.377356
-1379.052945,264,28.937624
-2041.756515,640,30.287332
-1314.361413,54,30.401977
-1215.533988,251,30.937823
1486.291307,762,32.539386
-1502.458151,286,33.147106
-1303.151266,160,33.484597
-1114.526773,104,33.704607
-678.075973,543,34.862123
-1635.738229,334,35.587247
-370.324679,277,36.182398
-1666.300556,438,37.116655
-346.443112,183,37.498963
-1154.770295,64,37.634778
-1132.942956,46,37.73134
-1542.316731,290,38.342155
-302.800077,276,38.931528
-399.402725,532,40.076364
-1168.669104,107,40.326241
-1184.916761,36,40.408287
-314.344664,155,40.769392
1224.024765,582,42.015008
-1263.236978,156,42.341428
-1283.543257,174,42.705619
-1238.03938,810,44.428553
-101.288186,123,44.684956
-162.18385,68,44.830096
-278.197206,75,44.99076
1853.586705,406,45.853349
-192.42014,281,46.440937
-1752.289632,458,47.411616
-1499.893608,261,47.967749
-1241.870482,64,48.10397
-1798.422539,629,49.435956
-102.246604,54,49.554498
-250.241914,41,49.648419
-658.262213,518,50.800364
42.342131,80,50.970396
-1153.421728,40,51.055293
-1575.021719,267,51.620963
-1957.938811,496,52.67003
-1309.032943,99,52.879228
-133.979001,43,52.965726
-288.160845,70,53.113566
-1578.970582,276,53.713079
-338.870846,323,54.400174
-1347.544919,81,54.571303
-121.140887,85,54.752035
-34.186214,22,54.799793
-364.365222,62,54.974914
-299.620366,46,55.137321
14.720393,191,55.584699
-42.3592,17,55.618713
-83.31751,212,56.066267
-258.527945,45,56.160903
-1386.045888,137,56.46103
1719.591018,462,57.458814
-492.613222,163,57.821343
-118.665539,278,58.432167
-1335.705159,60,58.559162
-25.33149,14,58.590255
-1251.812568,67,58.737198
-211.294918,73,58.88829
43.547457,34,58.960419
-1310.670166,49,59.064776
-1273.556351,103,59.295361
-1371.55431,60,59.42678
-32.76506,22,59.475623
-1441.332581,109,59.705192
22.310886,20,59.750573
-201.196993,93,59.941929
-211.912479,82,60.117559
-194.137838,54,60.227674
-268.3339,62,60.362512
-30.470419,68,60.503272
-91.210045,41,60.598495
-1516.290236,114,60.836355
-1368.498069,144,61.141567
-331.503627,62,61.274987
-487.110079,192,61.676456
-158.13437,167,62.024751
87.827216,20,62.067447
-139.463743,46,62.166264
15.454261,56,62.284384
-40.529887,16,62.317968
-702.89341,442,63.254919
45.071934,71,63.406293
-1275.473166,56,63.523323
-201.120966,43,63.613005
-121.943661,156,63.943416
-1.860956,15,63.973487
-64.21998,74,64.12387
-1275.705827,122,64.385813
-293.68043,174,64.752183
-1731.191073,298,65.388528
-1283.044739,101,65.600221
-1383.750927,142,65.900695
-1602.117594,227,66.373167
-5.826488,63,66.507714
12.247232,16,66.541378
-102.648899,106,66.773482
-1327.30117,150,67.120785
-1370.241525,118,67.383381
-288.460856,56,67.505433
-1181.853907,80,67.690715
-13.926643,16,67.727449
-1329.348873,72,67.888001
-256.581176,249,68.419918
-543.476505,447,69.370327
-1208.927368,69,69.517469
-1238.932867,84,69.688704
1644.934686,473,70.690507
-1378.450822,67,70.833715
1565.05697,625,72.160342
-1299.892888,203,72.590074
-1634.117362,344,73.316052
-1320.949494,111,73.551969
-1285.821096,192,73.954517
-1345.787092,69,74.10057
-1103.827126,54,74.215494
-1167.541506,97,74.417697
-1233.47052,129,74.714603
-812.840313,1001,76.884347
-1211.717633,99,77.095164
-1191.076499,86,77.278427
-863.542452,1001,79.419684
-1172.102942,91,79.610064
-1185.193276,108,79.840998
-1353.979128,186,80.241289
-870.903403,1001,82.568335
