#{"t_start": 1607985453.8439412, "env_id": "Block-v5"}
r,l,t
-1419.109304,157,0.374125
-998.034675,941,2.603013
18.433502,60,2.742056
-1601.173325,472,3.860032
1747.431769,434,4.881828
-41.734667,83,5.103127
-1728.38199,488,6.298751
-1979.345039,973,8.621986
-1316.856279,128,8.926771
-1182.346647,65,9.086383
-49.13266,43,9.185278
-1073.772945,41,9.283167
1617.682922,820,11.22959
-1605.867716,372,12.107921
-1336.01934,132,12.424722
-259.256479,424,13.505475
-292.951186,249,14.121535
54.443805,32,14.195489
-1426.360813,234,14.750688
-1344.434554,110,15.012119
-568.526867,548,16.303908
-65.743292,146,16.645529
-277.428669,307,17.371214
-95.878833,58,17.510395
-1431.350223,136,17.827763
-244.276129,364,18.689018
-1290.478341,109,18.942671
-215.571015,77,19.129469
-159.374312,84,19.328285
-1315.771207,108,19.584461
-868.213805,747,21.348293
-238.589306,254,21.953963
-169.352852,93,22.175035
-1371.070616,110,22.432108
-26.669785,132,22.74125
-1466.0719,247,23.32409
-115.907776,197,23.786934
-17.436101,65,23.944063
-1156.132228,63,24.093715
-1357.917762,65,24.245952
40.22835,97,24.476237
-1276.08611,182,24.900403
-1284.244923,108,25.158247
-1950.922237,625,26.648761
-110.394447,236,27.207546
-1276.262606,134,27.529439
-615.169602,440,28.627366
-667.118084,561,29.989591
-61.360997,98,30.219349
-360.089732,170,30.618702
-279.941375,301,31.330492
-17.193214,8,31.34963
-221.401122,424,32.348165
-30.957293,186,32.788354
-1241.846009,45,32.895607
-110.703129,78,33.079696
-93.23819,110,33.334256
-2040.13614,651,34.871277
-232.183088,123,35.166022
-199.246794,137,35.495698
1734.810782,585,36.928954
-1299.901881,99,37.162804
-821.451526,773,38.983644
-153.961232,110,39.245152
-126.365951,40,39.339624
16.214785,78,39.520198
-1260.012939,56,39.654153
-15.743833,102,39.895253
-211.85768,180,40.323395
-1089.149312,44,40.427194
-1356.703085,240,41.007603
-295.847029,228,41.546419
-1307.286781,168,41.940588
-484.229726,318,42.694001
-87.442717,45,42.797658
-1306.88747,73,42.979361
-379.654708,697,44.627781
-238.870868,304,45.357573
-1426.971433,168,45.76361
-171.30298,125,46.071969
5.040071,30,46.147258
-1120.07428,40,46.273873
-281.129018,286,46.971213
-1653.696525,304,47.686162
-132.72885,77,47.87164
-1401.800234,120,48.157651
-251.050303,183,48.588396
-1343.363637,139,48.918621
-1255.776554,94,49.140384
-756.364847,744,50.901587
54.854198,257,51.514645
-21.641105,17,51.556761
-202.684168,124,51.84893
-1503.811283,163,52.232123
-108.303554,206,52.724178
-1620.323071,403,53.779379
-206.185279,63,53.927667
-1204.558792,126,54.22392
-1738.396434,477,55.359609
-1176.634639,145,55.710603
-746.778514,848,57.724459
-210.658391,153,58.082132
-1270.858094,74,58.254875
-1324.345801,107,58.506693
-1523.164961,262,59.127082
-1194.385894,39,59.213738
-172.841947,159,59.593855
-1591.339551,462,60.694932
-306.489321,402,61.639738
-207.316665,168,62.03817
-19.636669,29,62.113242
-367.157915,223,62.641076
-1278.186981,152,63.001598
-304.365998,373,63.877826
