#{"t_start": 1607576130.5609543, "env_id": "Block-v1"}
r,l,t
-664.53193,1000,3.800676
-1268.953282,290,4.38911
-96.174251,7,4.403693
-1249.995789,221,4.829935
-1196.658506,182,5.188658
-1254.100249,26,5.233014
-149.439296,275,5.768167
-36.325573,20,5.817043
-1686.409501,880,7.516446
-82.593245,101,7.716888
-198.31111,15,7.756227
-721.875004,986,9.757286
-1198.083901,150,10.06516
-1241.374267,19,10.108897
-493.445886,832,11.753874
-1419.601891,138,12.037906
-615.057869,863,13.747925
-502.464283,1001,15.785185
-719.326894,1001,17.802053
-661.390357,1001,19.716375
-757.014387,1001,21.654284
-593.35631,1001,23.657835
-1574.315753,635,24.866285
-1251.171697,42,24.953601
-376.870277,324,25.590051
-707.690491,1001,27.661191
-1434.663865,519,28.686837
-1381.091861,479,29.621347
-5.295455,3,29.626972
-889.561155,1001,31.554869
-1257.141395,32,31.613861
-563.687785,969,33.51432
-702.825381,1001,35.447312
-710.327521,1001,37.479923
-646.794321,1001,39.507759
