#{"t_start": 1607557166.8542774, "env_id": "Block-v2"}
r,l,t
-390.432066,1000,2.549671
-346.183868,1001,3.975509
-340.060734,1001,5.389556
-375.520263,1001,6.800755
-361.210155,1001,8.205143
-334.460874,1001,9.624514
-348.45289,1001,11.03804
-382.878584,1001,12.447264
-21.761256,8,12.456386
-355.591467,993,13.851148
-341.894993,1001,15.259267
-239.223859,1001,16.676094
-397.311909,1001,18.087189
-321.193664,1001,19.500885
-342.378948,1001,20.917551
-378.133858,1001,22.352315
-374.92798,1001,23.752919
-391.853708,1001,25.118434
-292.488804,1001,26.487562
-53.881355,25,26.519455
-300.462833,976,27.85068
-306.97146,1001,29.258335
-392.656512,1001,30.625165
-380.08049,1001,31.990304
-4.735737,5,31.996
-347.440837,996,33.368652
-29.688971,11,33.385313
-410.916381,990,34.743585
-382.314021,1001,36.138023
-357.059663,1001,37.567001
-321.985962,1001,38.949483
-347.786548,1001,40.370254
-341.376376,1001,41.77308
-524.53512,1001,43.211731
-315.857856,1001,44.671782
-320.276259,1001,46.11949
-368.356713,1001,47.50941
-331.484233,1001,48.937173
-346.856455,1001,50.348813
-413.815105,1001,51.787594
-61.062874,24,51.818076
-303.141568,977,53.181571
-382.970346,1001,54.56167
-74.847822,30,54.603501
-318.51179,971,55.965939
-317.368956,1001,57.392827
-330.127895,1001,58.805411
-336.525437,1001,60.236323
-348.865657,1001,61.628121
-315.293814,1001,63.013912
-361.796645,1001,64.402872
-350.16483,1001,65.783231
-335.722628,1001,67.170839
-329.704482,1001,68.555994
-345.336465,1001,69.942743
-429.266168,1001,71.339141
-325.539456,1001,72.719412
-316.681469,1001,74.11044
-334.407114,1001,75.496846
-327.781398,1001,76.885157
-326.694133,1001,78.302517
-338.349287,1001,79.729506
-318.240927,1001,81.156925
-371.673269,1001,82.560267
-387.500454,1001,83.960539
-317.705758,1001,85.353422
-315.27987,1001,86.742982
-13.558385,17,86.76641
-362.331124,984,88.12846
-33.627825,32,88.172682
-331.527387,969,89.518732
-336.561607,1001,90.897559
-333.320151,1001,92.28496
-342.46011,1001,93.674523
-276.829439,1001,95.057575
-322.133312,1001,96.44988
-376.521446,1001,97.838403
-23.885367,23,97.872643
-352.552523,978,99.235303
-37.906182,33,99.280947
-299.42663,968,100.621938
-364.921686,1001,102.014481
-282.860746,1001,103.397509
-422.726933,1001,104.795861
-379.008984,1001,106.188881
-393.63997,1001,107.572245
-298.421044,1001,108.963763
-286.069251,1001,110.347832
-346.195857,1001,111.737247
-306.501395,1001,113.121928
-336.075997,1001,114.510891
-391.993504,1001,115.900076
-346.181741,1001,117.330529
-332.743402,1001,118.730759
-405.023836,1001,120.124532
-327.102464,1001,121.51826
-316.213724,1001,122.920439
-265.965766,1001,124.335963
-280.221979,1001,125.736365
-325.516629,1001,127.145102
-35.500801,26,127.183404
-322.677847,975,128.554872
-321.881506,1001,129.96446
