#{"t_start": 1607559261.0506392, "env_id": "Block-v2"}
r,l,t
-314.303603,1000,2.363888
-319.753987,1001,3.60208
-275.130313,1001,4.823995
-341.077499,1001,6.06917
-320.588683,1001,7.297385
-346.269047,1001,8.517488
-340.396549,1001,9.744523
-334.585261,1001,10.97313
-343.587739,1001,12.194032
-287.548048,1001,13.420052
-281.927087,1001,14.647659
-297.394395,1001,15.868694
-273.945517,1001,17.095162
-318.118176,1001,18.318804
-271.565021,1001,19.553297
-243.838115,1001,20.781125
-230.387932,1001,22.002568
-251.417823,1001,23.236387
-257.21941,1001,24.468533
-236.255095,1001,25.697099
-207.803973,1001,26.929984
-253.222854,1001,28.157437
-226.929892,1001,29.383008
-214.094126,1001,30.611099
-210.621828,1001,31.838955
-173.862117,1001,33.073563
-212.377849,1001,34.307433
-232.160906,1001,35.535123
-184.338221,1001,36.767264
-186.010161,1001,37.998312
-168.283983,1001,39.225353
-139.558308,1001,40.45729
-132.775356,1001,41.69221
-147.882598,1001,42.920209
-153.803367,1001,44.154898
-110.710259,1001,45.391029
-146.623757,1001,46.623043
-168.781152,1001,47.863201
-134.455012,1001,49.095992
